Count of combinations
% num: 1048576
dict_keys(['k_10', 'k_12', 'k_2', 'k_9'])
(5, 10, 2, 9): 96
(5, 9, 0, 4): 48
(5, 1, 0, 2): 48
(5, 6, 0, 15): 96
(6, 9, 0, 1): 80
(4, 14, 0, 8): 32
(5, 2, 0, 10): 96
(5, 10, 0, 13): 32
(5, 12, 2, 2): 48
(4, 12, 0, 14): 48
(6, 7, 0, 6): 96
(5, 8, 0, 9): 48
(5, 8, 0, 4): 48
(4, 10, 0, 12): 96
(6, 5, 0, 4): 48
(5, 7, 0, 10): 96
(5, 14, 2, 13): 32
(5, 12, 0, 1): 48
(5, 5, 0, 1): 80
(7, 4, 0, 0): 112
(5, 9, 0, 1): 48
(6, 11, 0, 3): 64
(5, 7, 0, 6): 96
(5, 0, 0, 6): 48
(5, 2, 2, 10): 96
(5, 4, 0, 12): 80
(7, 3, 0, 7): 96
(6, 0, 0, 8): 112
(5, 2, 0, 6): 96
(5, 4, 0, 1): 80
(5, 5, 2, 1): 48
(6, 15, 0, 14): 64
(5, 1, 0, 11): 48
(5, 0, 0, 4): 80
(5, 5, 0, 4): 80
(7, 8, 0, 5): 80
(6, 13, 0, 12): 80
(5, 14, 0, 0): 32
(5, 14, 0, 13): 32
(5, 7, 2, 6): 96
(5, 13, 0, 11): 48
(5, 0, 0, 3): 48
(5, 5, 0, 3): 48
(7, 13, 0, 0): 80
(7, 6, 0, 11): 96
(5, 12, 0, 6): 48
(5, 12, 0, 11): 48
(5, 9, 2, 4): 80
(5, 15, 0, 8): 32
(7, 15, 0, 7): 64
(7, 10, 0, 15): 64
(5, 10, 0, 9): 96
(6, 5, 0, 5): 112
(5, 13, 0, 14): 48
(6, 4, 0, 5): 112
(5, 8, 0, 14): 48
(7, 12, 0, 9): 80
(5, 10, 0, 4): 96
(7, 0, 0, 5): 112
(5, 13, 2, 3): 48
(7, 14, 0, 2): 64
(6, 3, 0, 2): 96
(6, 2, 0, 2): 96
(5, 11, 0, 12): 96
(6, 4, 0, 8): 112
(7, 11, 0, 11): 64
(5, 11, 2, 8): 32
(6, 5, 0, 0): 112
(6, 3, 0, 15): 96
(7, 1, 0, 13): 112
(5, 0, 2, 14): 48
(6, 9, 0, 0): 80
(6, 8, 0, 0): 80
(6, 0, 0, 0): 112
(6, 2, 0, 7): 96
(6, 8, 0, 13): 80
(5, 15, 2, 12): 96
(7, 5, 0, 15): 48
(6, 7, 0, 14): 96
(6, 7, 0, 7): 96
(7, 2, 0, 10): 96
(6, 9, 0, 5): 80
(6, 9, 2, 0): 112
(7, 7, 0, 9): 32
(6, 11, 0, 10): 64
(6, 6, 0, 14): 96
(6, 12, 0, 5): 80
(7, 9, 0, 1): 80
(6, 6, 0, 3): 96
(6, 7, 0, 11): 96
(7, 9, 0, 2): 48
(6, 10, 0, 10): 64
(6, 7, 2, 7): 96
(6, 2, 0, 11): 96
(6, 10, 0, 7): 64
(7, 7, 0, 6): 96
(6, 11, 0, 15): 64
(7, 2, 0, 13): 32
(6, 12, 0, 12): 80
(6, 15, 0, 7): 64
(6, 14, 0, 15): 64
(7, 5, 0, 4): 48
(6, 12, 0, 1): 80
(6, 5, 2, 5): 80
(7, 1, 0, 10): 48
(6, 14, 0, 7): 64
(6, 13, 0, 9): 80
(6, 8, 0, 9): 80
(7, 11, 0, 3): 64
(6, 14, 0, 10): 64
(6, 2, 2, 11): 96
(6, 15, 0, 2): 64
(6, 1, 0, 5): 112
(6, 1, 0, 8): 112
(7, 14, 0, 1): 96
(6, 10, 0, 2): 64
(6, 15, 2, 15): 64
(7, 0, 0, 8): 112
(7, 12, 0, 6): 48
(6, 5, 0, 13): 112
(7, 15, 0, 14): 64
(6, 0, 2, 9): 80
(6, 2, 0, 15): 96
(6, 0, 0, 13): 112
